Position,Clean sheets,Goals conceded,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Recoveries,Successful 50/50s,Own goals,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Goals per match,Shots,Shooting accuracy %,Saves,Penalties saved,age,value_eur,overall,Arial Saves,Duels %,Aerial battles %
Forward,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,24,675000,65,0.0,0.0,0.0
Midfielder,0.0,0.0,6.0,67,2.0,7.0,3.0,14.0,13.0,0.0,2,140,9.33,1.0,9.0,22,0.0,3.0,0,0,2,0.0,0,0.0,4.0,0,0.0,0.0,20,3900000,70,0.0,43.28358208955224,41.666666666666664
Midfielder,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,20,650000,62,0.0,0.0,0.0
Goalkeeper,6.0,61.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,1169,33.4,0.0,0.0,0,0.0,403.0,0,0,0,0.0,0,0.0,0.0,0,144.0,0.0,24,18000000,81,52.0,0.0,0.0
Defender,0.0,7.0,9.0,56,2.0,9.0,22.0,10.0,2.0,0.0,0,84,16.8,0.0,10.0,30,0.0,3.0,1,0,4,1.0,0,0.0,0.0,0,0.0,0.0,23,4500000,73,0.0,59.523809523809526,61.904761904761905
Midfielder,0.0,0.0,70.0,63,14.0,79.0,33.0,183.0,10.0,0.0,1,1293,41.71,5.0,136.0,35,6.0,62.0,7,0,35,1.0,0,0.0,38.0,32,0.0,0.0,31,11000000,79,0.0,40.0735294117647,30.0
Defender,9.0,24.0,29.0,72,2.0,27.0,202.0,103.0,4.0,0.0,0,1330,49.26,0.0,0.0,0,0.0,47.0,1,1,17,0.0,0,0.0,0.0,0,0.0,0.0,31,21000000,84,0.0,69.8019801980198,75.0
Forward,0.0,0.0,15.0,0,10.0,10.0,35.0,0.0,0.0,0.0,6,493,15.41,6.0,19.0,0,0.0,0.0,4,0,43,15.0,4,0.13,43.0,40,0.0,0.0,20,1200000,65,0.0,0.0,0.0
Midfielder,0.0,0.0,34.0,62,1.0,36.0,84.0,89.0,14.0,0.0,0,506,25.3,0.0,9.0,0,0.0,28.0,2,0,16,0.0,0,0.0,5.0,0,0.0,0.0,31,5000000,76,0.0,53.40909090909091,54.929577464788736
Midfielder,0.0,0.0,67.0,81,5.0,28.0,52.0,196.0,24.0,0.0,4,1543,59.35,5.0,11.0,45,11.0,76.0,8,0,27,0.0,3,0.12,27.0,30,0.0,0.0,23,19500000,80,0.0,56.99300699300699,48.421052631578945
Midfielder,0.0,0.0,43.0,60,12.0,43.0,57.0,119.0,13.0,0.0,0,875,38.04,0.0,4.0,25,5.0,62.0,3,0,21,1.0,1,0.04,23.0,13,0.0,0.0,28,7500000,76,0.0,53.521126760563384,64.61538461538461
Defender,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,21,850000,65,0.0,0.0,0.0
Midfielder,0.0,0.0,1.0,100,1.0,1.0,3.0,17.0,2.0,0.0,0,99,49.5,0.0,0.0,0,1.0,12.0,0,0,1,0.0,0,0.0,2.0,50,0.0,0.0,35,3500000,80,0.0,40.0,0.0
